package,corpus,strong,suggests,downloads
lmtest,480,135,85,3669047
MASS,459,2139,763,2668008
sandwich,421,191,89,2223521
car,358,236,156,5218714
Hmisc,253,225,108,3371368
lme4,250,346,224,5437475
lfe,222,4,15,135470
plm,189,35,35,407764
estimatr,180,17,18,128979
arm,176,34,11,430768
psych,172,206,89,2393598
AER,145,24,58,417670
multiwayvcov,142,3,1,27379
survey,134,118,73,765509
sf,108,834,348,8647580
margins,107,2,9,105809
nnet,103,181,145,481715
Matching,102,10,8,67936
sp,98,314,136,2591512
survival,96,857,280,1513224
mediation,94,6,12,141240
zoo,94,451,125,6799043
rdrobust,86,10,3,43715
MatchIt,85,17,20,203365
Amelia,84,10,15,117636
boot,78,335,101,931447
effects,78,7,19,415535
pscl,76,37,43,456485
raster,72,227,95,1399699
igraph,71,768,232,6105294
coda,66,365,86,1392217
Matrix,65,1602,210,1831969
fixest,64,23,31,191766
ggeffects,63,4,8,369978
mvtnorm,60,875,230,3712573
mgcv,59,337,162,934898
ggmap,58,19,13,2838045
memisc,55,9,4,100469
rstan,55,338,59,730509
rms,53,65,39,410503
cjoint,51,0,2,12874
interflex,51,0,0,5249
MCMCpack,49,92,20,252600
caret,47,228,93,2114204
spdep,46,94,53,418346
mice,43,84,90,775923
miceadds,42,6,10,158687
rjags,42,95,35,247285
weights,40,16,2,118468
random,39,2,0,9394
sjmisc,39,8,3,369866
ordinal,38,15,43,615633
ebal,36,2,4,22340
geosphere,36,74,22,575197
multcomp,34,67,50,1327515
cem,33,1,1,26048
glmnet,33,437,169,1349785
lavaan,33,155,58,666843
ltm,33,17,6,97916
pastecs,32,10,2,186348
aod,31,9,11,117160
cobalt,31,10,16,90060
randomForest,30,186,161,1189035
clusterSEs,29,1,1,8809
msm,29,72,11,209708
rgenoud,29,19,16,70411
mlogit,28,9,24,125164
DescTools,26,83,24,777176
rworldmap,26,6,10,63807
irr,25,16,11,99463
pwr,25,17,19,300368
sjlabelled,25,16,4,395023
sna,25,47,22,250371
classInt,24,30,18,2739968
clubSandwich,23,8,17,72335
cshapes,23,0,1,20053
e1071,23,228,109,4778041
nlme,23,286,138,1408614
sensemakr,23,3,3,9695
tseries,23,63,28,2548325
lmerTest,22,47,49,766046
systemfit,22,13,9,128454
brms,21,35,52,262482
marginaleffects,21,17,30,153536
rddensity,21,0,1,15745
mfx,20,0,4,63993
FindIt,19,0,0,3887
emmeans,19,56,68,1642734
mapdata,18,8,13,122644
network,18,86,25,281087
rstanarm,18,11,43,137839
tmap,18,22,40,257229
did,17,3,10,43468
fields,17,171,63,460475
gsynth,17,0,1,17004
optmatch,17,5,17,63766
factoextra,16,31,19,991296
metafor,16,65,34,344078
questionr,16,4,6,222952
strucchange,16,31,22,405779
survminer,16,41,31,416981
CBPS,15,4,4,28029
MuMIn,15,16,17,219184
coin,15,24,37,411497
grf,15,23,9,76270
spatstat,15,28,23,201603
ROCR,14,47,22,642516
bayesplot,14,50,52,317030
broom.mixed,14,19,27,273222
forecast,14,177,48,3169643
naniar,14,7,9,219987
sampleSelection,14,5,10,39922
PanelMatch,13,0,2,6478
R2jags,13,41,14,86566
VGAM,13,102,54,435500
erer,13,1,0,13223
ergm,13,36,9,77938
statnet,13,0,4,33147
stringdist,13,103,24,655023
betareg,12,19,33,129016
brglm,12,6,6,67048
srvyr,12,13,19,50211
tidycensus,12,8,16,108281
WDI,11,3,1,73039
polycor,11,23,9,156055
BayesTree,10,1,2,15124
logistf,10,9,12,91694
psy,10,2,0,20473
rmeta,10,2,7,37654
rpart,10,146,151,924412
xts,10,149,55,4092415
